id,device_identifier,ts_generation,co2,humidity,pressure,temperature,battery
138349,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692209315895,442,45.5,1010.7,30.2,
138367,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692209915840,453,46.5,1010.8,29.8,
138386,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692210515801,439,47.5,1010.7,29.2,
138405,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692211115759,455,48.5,1010.9,28.5,
138424,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692211715743,457,49.5,1011.1,28.1,
138442,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692212315687,460,51.0,1011.3,27.6,
138461,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692212915695,476,54.5,1011.3,27.0,
138479,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692213515629,470,55.0,1011.4,26.4,
138502,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692214395946,477,56.5,1011.5,25.9,
138521,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692214995957,486,57.5,1011.6,26.0,
138539,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692215595907,440,57.0,1011.8,26.4,
138558,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692216195879,477,57.5,1011.9,26.1,
138576,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692216795849,503,60.5,1012.0,25.8,
138595,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692217395820,474,61.0,1012.0,25.0,
138613,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692217995762,490,63.5,1012.0,25.0,
138632,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692218595748,485,63.5,1012.1,24.5,
138650,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692219195769,540,66.0,1012.1,24.1,
138669,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692219795697,506,64.5,1012.0,23.8,
138688,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692220395700,512,66.5,1012.0,23.5,
138707,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692220995634,514,68.0,1011.9,23.4,
138725,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692221595593,550,70.0,1012.0,23.1,
138744,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692222195586,556,71.0,1012.0,22.9,
138762,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692222795556,513,71.5,1012.1,22.7,
138781,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692223395496,576,72.5,1012.3,22.3,
138799,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692223995496,522,72.0,1012.5,22.3,
138817,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692224595470,585,75.0,1012.4,21.9,
138835,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692225195414,541,74.5,1012.6,21.6,
138854,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692225795408,600,74.0,1012.7,21.4,
138872,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692226395380,566,75.5,1012.7,21.3,
138890,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692226995340,596,75.5,1012.7,21.2,
138908,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692227595312,547,75.5,1012.5,21.1,
138927,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692228195306,580,77.0,1012.5,21.0,
138945,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692228795230,545,76.0,1012.6,20.9,
138964,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692229395232,638,78.5,1012.6,20.9,
138982,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692229995174,582,77.5,1012.5,20.7,
139001,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692230595167,600,78.5,1012.7,20.7,
139019,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692231195139,599,78.5,1012.7,20.6,
139038,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692231795118,607,79.5,1012.8,20.4,
139055,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692232395066,611,79.5,1012.8,20.3,
139074,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692232996766,644,80.5,1012.8,20.0,
139092,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692233595024,539,79.0,1012.9,20.4,
139110,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692234194992,504,78.0,1012.9,21.2,
139128,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692234794976,487,76.5,1013.0,21.7,
139147,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692235394973,492,75.0,1012.9,21.9,
139165,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692235994892,492,73.5,1013.0,22.3,
139182,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692236594883,481,73.0,1013.0,22.3,
139200,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692237194852,510,73.0,1013.2,22.2,
139219,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692237794809,501,73.5,1013.1,22.1,
139238,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692238394866,508,74.0,1013.2,21.8,
139256,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692238994762,518,75.0,1013.0,21.4,
139274,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692239594721,515,75.5,1013.1,21.2,
139293,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692240196415,492,76.0,1012.8,21.1,
139309,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692240794679,558,77.5,1012.8,20.9,
