id,ts_generation,device_identifier,line,electrical_conductivity,humidity,temperature,battery
190258,1693963399605,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.35,21.2,NULL
190276,1693964000972,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,21.1,NULL
190292,1693964602328,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.41,21.1,NULL
190311,1693965203714,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,21.1,NULL
190328,1693965805088,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,21,NULL
190347,1693966406462,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,21,NULL
190364,1693967007832,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.35,21,NULL
190381,1693967609211,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,21,NULL
190398,1693968210590,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,21,NULL
190417,1693968811966,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,20.9,NULL
190434,1693969413320,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,20.9,NULL
190452,1693970014690,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,20.9,NULL
190469,1693970616076,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,20.9,NULL
190488,1693971217450,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.35,20.8,NULL
190507,1693971818812,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.35,20.8,NULL
190527,1693972420166,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.35,20.8,NULL
190544,1693973021540,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.7,NULL
190562,1693973622899,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,20.7,NULL
190578,1693974224282,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.29,20.7,NULL
190597,1693974825672,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.35,20.7,NULL
190614,1693975427056,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.35,20.6,NULL
190632,1693976028406,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.6,NULL
190648,1693976629789,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.35,20.6,NULL
190666,1693977231140,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.6,NULL
190684,1693977832531,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.5,NULL
190704,1693978433887,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.5,NULL
190722,1693979035238,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.5,NULL
190739,1693979636627,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.5,NULL
190756,1693980237989,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.35,20.5,NULL
190773,1693980839383,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.4,NULL
190791,1693981440709,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.4,NULL
190808,1693982042067,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.35,20.4,NULL
190825,1693982643425,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.4,NULL
190841,1693983244789,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,200,23.29,20.3,NULL
190857,1693983846149,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,199,23.29,20.3,NULL
190876,1693984447509,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,199,23.29,20.3,NULL
190895,1693985048871,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,199,23.35,20.3,NULL
190912,1693985650241,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,199,23.29,20.3,NULL
190927,1693986251618,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,199,23.29,20.2,NULL
190943,1693986852976,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,199,23.29,20.2,NULL
190963,1693987454357,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,199,23.29,20.2,NULL
